Fichier,Nombre_generations,Methode,Max_fitness,Temps_execution
knapsack1.csv,5,A,-10,0.0010006427764892578
knapsack1.csv,10,A,400,0.0010023117065429688
knapsack1.csv,15,A,200,0.0020020008087158203
knapsack1.csv,20,A,400,0.0030028820037841797
knapsack1.csv,25,A,200,0.002518892288208008
knapsack1.csv,30,A,400,0.0030035972595214844
knapsack1.csv,35,A,400,0.004003286361694336
knapsack1.csv,40,A,400,0.0030031204223632812
knapsack1.csv,45,A,400,0.0035054683685302734
knapsack1.csv,50,A,400,0.004506349563598633
knapsack1.csv,55,A,400,0.005506277084350586
knapsack1.csv,60,A,400,0.006021022796630859
knapsack1.csv,65,A,400,0.005510091781616211
knapsack1.csv,70,A,400,0.007508277893066406
knapsack1.csv,75,A,400,0.006005287170410156
knapsack1.csv,80,A,400,0.0066602230072021484
knapsack1.csv,85,A,400,0.008036375045776367
knapsack1.csv,90,A,400,0.007043600082397461
knapsack1.csv,95,A,400,0.0105133056640625
knapsack1.csv,100,A,400,0.011030197143554688
knapsack1.csv,5,B,400,0.0
knapsack1.csv,10,B,400,0.0010004043579101562
knapsack1.csv,15,B,400,0.0015027523040771484
knapsack1.csv,20,B,400,0.0020897388458251953
knapsack1.csv,25,B,400,0.0035181045532226562
knapsack1.csv,30,B,400,0.0035161972045898438
knapsack1.csv,35,B,400,0.0052297115325927734
knapsack1.csv,40,B,400,0.004583120346069336
knapsack1.csv,45,B,400,0.004438877105712891
knapsack1.csv,50,B,400,0.005736589431762695
knapsack1.csv,55,B,400,0.006004810333251953
knapsack1.csv,60,B,400,0.006170749664306641
knapsack1.csv,65,B,400,0.008574724197387695
knapsack1.csv,70,B,400,0.006508827209472656
knapsack1.csv,75,B,400,0.007523059844970703
knapsack1.csv,80,B,400,0.008017301559448242
knapsack1.csv,85,B,400,0.009044647216796875
knapsack1.csv,90,B,400,0.010776281356811523
knapsack1.csv,95,B,400,0.010217666625976562
knapsack1.csv,100,B,400,0.009495973587036133
knapsack2.csv,5,A,310,0.0
knapsack2.csv,10,A,310,0.0010013580322265625
knapsack2.csv,15,A,125,0.0015039443969726562
knapsack2.csv,20,A,145,0.0024530887603759766
knapsack2.csv,25,A,335,0.0020024776458740234
knapsack2.csv,30,A,335,0.0020017623901367188
knapsack2.csv,35,A,70,0.0030035972595214844
knapsack2.csv,40,A,335,0.004004955291748047
knapsack2.csv,45,A,95,0.0037508010864257812
knapsack2.csv,50,A,290,0.004002571105957031
knapsack2.csv,55,A,275,0.0046579837799072266
knapsack2.csv,60,A,205,0.0050051212310791016
knapsack2.csv,65,A,310,0.005510568618774414
knapsack2.csv,70,A,275,0.006521701812744141
knapsack2.csv,75,A,310,0.006397724151611328
knapsack2.csv,80,A,310,0.006522178649902344
knapsack2.csv,85,A,290,0.0064754486083984375
knapsack2.csv,90,A,335,0.0076770782470703125
knapsack2.csv,95,A,310,0.008008241653442383
knapsack2.csv,100,A,290,0.00840139389038086
knapsack2.csv,5,B,335,0.0
knapsack2.csv,10,B,335,0.0013232231140136719
knapsack2.csv,15,B,335,0.0020020008087158203
knapsack2.csv,20,B,335,0.002001047134399414
knapsack2.csv,25,B,335,0.0025048255920410156
knapsack2.csv,30,B,335,0.003004789352416992
knapsack2.csv,35,B,335,0.004003763198852539
knapsack2.csv,40,B,335,0.003507852554321289
knapsack2.csv,45,B,335,0.004003763198852539
knapsack2.csv,50,B,335,0.004718780517578125
knapsack2.csv,55,B,335,0.0050051212310791016
knapsack2.csv,60,B,335,0.00551605224609375
knapsack2.csv,65,B,335,0.005507946014404297
knapsack2.csv,70,B,335,0.0061893463134765625
knapsack2.csv,75,B,335,0.006521701812744141
knapsack2.csv,80,B,335,0.00751042366027832
knapsack2.csv,85,B,335,0.008025169372558594
knapsack2.csv,90,B,335,0.007508516311645508
knapsack2.csv,95,B,335,0.009569168090820312
knapsack2.csv,100,B,335,0.012530088424682617
knapsack3.csv,5,A,445,0.001001119613647461
knapsack3.csv,10,A,175,0.0
knapsack3.csv,15,A,520,0.0010004043579101562
knapsack3.csv,20,A,440,0.0010297298431396484
knapsack3.csv,25,A,520,0.0020024776458740234
knapsack3.csv,30,A,460,0.0020012855529785156
knapsack3.csv,35,A,520,0.002519369125366211
knapsack3.csv,40,A,460,0.003003358840942383
knapsack3.csv,45,A,440,0.003504514694213867
knapsack3.csv,50,A,440,0.004450321197509766
knapsack3.csv,55,A,520,0.004508018493652344
knapsack3.csv,60,A,520,0.005148172378540039
knapsack3.csv,65,A,445,0.0052645206451416016
knapsack3.csv,70,A,445,0.00600743293762207
knapsack3.csv,75,A,305,0.006498575210571289
knapsack3.csv,80,A,440,0.00652003288269043
knapsack3.csv,85,A,460,0.006506443023681641
knapsack3.csv,90,A,520,0.008008003234863281
knapsack3.csv,95,A,460,0.008245706558227539
knapsack3.csv,100,A,460,0.008365869522094727
knapsack3.csv,5,B,520,0.0
knapsack3.csv,10,B,460,0.001001596450805664
knapsack3.csv,15,B,520,0.002540111541748047
knapsack3.csv,20,B,460,0.002001523971557617
knapsack3.csv,25,B,520,0.0020017623901367188
knapsack3.csv,30,B,460,0.0030035972595214844
knapsack3.csv,35,B,460,0.003556489944458008
knapsack3.csv,40,B,460,0.0030035972595214844
knapsack3.csv,45,B,520,0.004774570465087891
knapsack3.csv,50,B,520,0.005035877227783203
knapsack3.csv,55,B,460,0.005519390106201172
knapsack3.csv,60,B,460,0.005004167556762695
knapsack3.csv,65,B,520,0.006257295608520508
knapsack3.csv,70,B,460,0.005749702453613281
knapsack3.csv,75,B,460,0.007509469985961914
knapsack3.csv,80,B,460,0.007508516311645508
knapsack3.csv,85,B,460,0.007306098937988281
knapsack3.csv,90,B,460,0.008371591567993164
knapsack3.csv,95,B,520,0.009511709213256836
knapsack3.csv,100,B,520,0.00892019271850586
knapsack4.csv,5,A,-113,0.0
knapsack4.csv,10,A,-120,0.0010023117065429688
knapsack4.csv,15,A,-89,0.002002239227294922
knapsack4.csv,20,A,-102,0.0020012855529785156
knapsack4.csv,25,A,-67,0.002505064010620117
knapsack4.csv,30,A,-81,0.003003835678100586
knapsack4.csv,35,A,-29,0.0030019283294677734
knapsack4.csv,40,A,-33,0.003402233123779297
knapsack4.csv,45,A,-28,0.00426936149597168
knapsack4.csv,50,A,-28,0.0035049915313720703
knapsack4.csv,55,A,-3,0.005079746246337891
knapsack4.csv,60,A,-4,0.004506349563598633
knapsack4.csv,65,A,175,0.006007194519042969
knapsack4.csv,70,A,510,0.006302356719970703
knapsack4.csv,75,A,-2,0.006613492965698242
knapsack4.csv,80,A,565,0.008117437362670898
knapsack4.csv,85,A,-6,0.007007598876953125
knapsack4.csv,90,A,420,0.008070230484008789
knapsack4.csv,95,A,-8,0.008638143539428711
knapsack4.csv,100,A,315,0.008061408996582031
knapsack4.csv,5,B,650,0.0010004043579101562
knapsack4.csv,10,B,880,0.0023529529571533203
knapsack4.csv,15,B,895,0.0030031204223632812
knapsack4.csv,20,B,750,0.004023551940917969
knapsack4.csv,25,B,655,0.004364490509033203
knapsack4.csv,30,B,880,0.005643367767333984
knapsack4.csv,35,B,880,0.006005525588989258
knapsack4.csv,40,B,735,0.008255481719970703
knapsack4.csv,45,B,870,0.00952291488647461
knapsack4.csv,50,B,845,0.009514331817626953
knapsack4.csv,55,B,880,0.010522842407226562
knapsack4.csv,60,B,895,0.009466409683227539
knapsack4.csv,65,B,880,0.01172780990600586
knapsack4.csv,70,B,800,0.012963533401489258
knapsack4.csv,75,B,940,0.01325225830078125
knapsack4.csv,80,B,940,0.01455998420715332
knapsack4.csv,85,B,950,0.015569925308227539
knapsack4.csv,90,B,940,0.01450657844543457
knapsack4.csv,95,B,940,0.018764257431030273
knapsack4.csv,100,B,940,0.019822359085083008
